,results
0,0.975
1,0.975
2,0.975
3,0.975
4,0.975
5,0.975
6,0.975
7,0.975
8,0.975
9,0.975
10,0.975
11,0.975
12,0.975
13,0.975
14,0.975
15,0.975
16,0.975
17,0.975
18,0.975
19,0.975
20,0.975
21,0.975
22,0.975
23,0.975
24,0.975
25,0.975
26,0.975
27,0.975
28,0.975
29,0.975
30,0.995
31,0.995
32,0.995
33,0.995
34,0.995
35,0.995
36,0.995
37,0.995
38,0.995
39,0.995
40,0.995
41,0.995
42,0.995
43,0.995
44,0.995
45,0.995
46,0.995
47,0.995
48,0.995
49,0.995
50,0.995
51,0.995
52,0.995
53,0.995
54,0.995
55,0.995
56,0.995
57,0.995
58,0.995
59,0.995
60,0.965
61,0.965
62,0.965
63,0.965
64,0.965
65,0.965
66,0.965
67,0.965
68,0.965
69,0.965
70,0.965
71,0.965
72,0.965
73,0.965
74,0.965
75,0.965
76,0.965
77,0.965
78,0.965
79,0.965
80,0.965
81,0.965
82,0.965
83,0.965
84,0.965
85,0.965
86,0.965
87,0.965
88,0.965
89,0.965
90,0.985
91,0.985
92,0.985
93,0.985
94,0.985
95,0.985
96,0.985
97,0.985
98,0.985
99,0.985
100,0.985
101,0.985
102,0.985
103,0.985
104,0.985
105,0.985
106,0.985
107,0.985
108,0.985
109,0.985
110,0.985
111,0.985
112,0.985
113,0.985
114,0.985
115,0.985
116,0.985
117,0.985
118,0.985
119,0.985
120,0.98
121,0.98
122,0.98
123,0.98
124,0.98
125,0.98
126,0.98
127,0.98
128,0.98
129,0.98
130,0.98
131,0.98
132,0.98
133,0.98
134,0.98
135,0.98
136,0.98
137,0.98
138,0.98
139,0.98
140,0.98
141,0.98
142,0.98
143,0.98
144,0.98
145,0.98
146,0.98
147,0.98
148,0.98
149,0.98
150,0.975
151,0.975
152,0.975
153,0.975
154,0.975
155,0.975
156,0.975
157,0.975
158,0.975
159,0.975
160,0.975
161,0.975
162,0.975
163,0.975
164,0.975
165,0.975
166,0.975
167,0.975
168,0.975
169,0.975
170,0.975
171,0.975
172,0.975
173,0.975
174,0.975
175,0.975
176,0.975
177,0.975
178,0.975
179,0.975
180,0.975
181,0.975
182,0.975
183,0.975
184,0.975
185,0.975
186,0.975
187,0.975
188,0.975
189,0.975
190,0.975
191,0.975
192,0.975
193,0.975
194,0.975
195,0.975
196,0.975
197,0.975
198,0.975
199,0.975
200,0.975
201,0.975
202,0.975
203,0.975
204,0.975
205,0.975
206,0.975
207,0.975
208,0.975
209,0.975
210,0.985
211,0.985
212,0.985
213,0.985
214,0.985
215,0.985
216,0.985
217,0.985
218,0.985
219,0.985
220,0.985
221,0.985
222,0.985
223,0.985
224,0.985
225,0.985
226,0.985
227,0.985
228,0.985
229,0.985
230,0.985
231,0.985
232,0.985
233,0.985
234,0.985
235,0.985
236,0.985
237,0.985
238,0.985
239,0.985
240,0.98
241,0.98
242,0.98
243,0.98
244,0.98
245,0.98
246,0.98
247,0.98
248,0.98
249,0.98
250,0.98
251,0.98
252,0.98
253,0.98
254,0.98
255,0.98
256,0.98
257,0.98
258,0.98
259,0.98
260,0.98
261,0.98
262,0.98
263,0.98
264,0.98
265,0.98
266,0.98
267,0.98
268,0.98
269,0.98
270,0.985
271,0.985
272,0.985
273,0.985
274,0.985
275,0.985
276,0.985
277,0.985
278,0.985
279,0.985
280,0.985
281,0.985
282,0.985
283,0.985
284,0.985
285,0.985
286,0.985
287,0.985
288,0.985
289,0.985
290,0.985
291,0.985
292,0.985
293,0.985
294,0.985
295,0.985
296,0.985
297,0.985
298,0.985
299,0.985
